StartDate,EndDate,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,timing_first_click,timing_last_click,timing_page_submit,timing_click_count,familiarity_seen,familiarity_plot,familiarity_characters,clear_starting_point,inferring_context,built_interest_tension,clear_outcome,logical_flow,tension_beginning,tension_middle,tension_end,introduced_tension,resolved_tension,narrative_resolution,satisfactory_resolution,concluded_scene,episode_position,season_position,want_next_story,want_broader_context,watch_full_episode,read_comments,comments_purpose,comments_purpose_text,video_id
2025-09-25 14:24:07,2025-09-25 14:46:30,23.121.158.117,100,1342,True,2025-09-25 14:46:30,R_3q4zuFyKoQ703PA,,,,,37.3931,-121.962,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 14:55:16,2025-09-25 15:15:05,76.102.60.247,100,1189,True,2025-09-25 15:15:06,R_7yg4aJrO6uAUuXt,,,,,37.3859,-122.0882,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 15:22:26,2025-09-25 15:33:02,107.3.178.73,100,635,True,2025-09-25 15:33:02,R_7IhMMGbXBjPlLuT,,,,,37.3177,-121.938,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 15:51:56,2025-09-25 16:10:58,99.103.131.146,100,1141,True,2025-09-25 16:10:59,R_5kcJ4rwUL56QlXj,,,,,37.3479,-122.0351,anonymous,EN,0,0,63.962,0,None of the above,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,5,35,10,Somewhat agree,Somewhat disagree,No,,No,Middle,Middle,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,"Understand how others interpreted the clip,Find out more context or background about the clip,Engage with fan reactions or humor",-99,clip_1
2025-09-25 15:48:41,2025-09-25 16:39:08,12.200.58.2,100,3026,True,2025-09-25 16:39:09,R_6hzFWZKMrHdmZ3X,,,,,37.3512,-121.8846,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 16:27:07,2025-09-25 16:40:27,208.82.97.223,100,800,True,2025-09-25 16:40:28,R_5LeBJBLTxngIpvH,,,,,37.3209,-121.9126,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 17:00:23,2025-09-25 17:16:15,76.132.171.238,100,951,True,2025-09-25 17:16:15,R_5dAIv6WRTW5CXPH,,,,,37.2821,-121.831,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 19:47:26,2025-09-25 20:08:01,24.130.135.101,100,1235,True,2025-09-25 20:08:02,R_36CmphJdQF7bgMV,,,,,37.4152,-122.1224,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 21:20:15,2025-09-25 21:46:44,99.162.150.24,100,1588,True,2025-09-25 21:46:44,R_3fZTKGkFO3D6wM6,,,,,37.4073,-121.939,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 22:37:57,2025-09-25 22:59:06,75.49.251.186,100,1269,True,2025-09-25 22:59:07,R_1YhXaauUEXRw7Jc,,,,,37.2566,-121.8889,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-25 23:00:39,2025-09-25 23:43:16,75.49.251.186,100,2556,True,2025-09-25 23:43:17,R_6kN6ATjsTXdhjmp,,,,,37.2566,-121.8889,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-26 00:11:58,2025-09-26 00:29:42,72.159.151.127,100,1064,True,2025-09-26 00:29:42,R_1g9ZqYGoImKwRnb,,,,,34.0544,-118.244,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-26 04:53:11,2025-09-26 07:14:22,97.206.229.124,100,8471,True,2025-09-26 07:14:23,R_6QRHP9CMUvzhTkT,,,,,37.7852,-122.3874,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-26 07:42:00,2025-09-26 07:56:51,97.206.229.124,100,891,True,2025-09-26 07:56:52,R_5Nfu9U5OJNWbZvf,,,,,37.7852,-122.3874,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-26 09:51:45,2025-09-26 10:04:35,76.132.150.251,100,769,True,2025-09-26 10:04:36,R_3rp8oVA2iXVVcfz,,,,,37.4446,-122.1835,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-26 15:09:54,2025-09-26 15:34:54,174.194.192.143,100,1499,True,2025-09-26 15:34:54,R_71iHp4y9ei1EYq0,,,,,37.6403,-122.0667,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-26 16:45:35,2025-09-26 17:00:26,73.158.109.149,100,890,True,2025-09-26 17:00:27,R_7EO3dGTxidVudP3,,,,,37.7183,-122.4103,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
2025-09-26 21:50:38,2025-09-26 22:09:32,75.37.199.36,100,1133,True,2025-09-26 22:09:32,R_1aKMDFwtKDpDQW5,,,,,37.2507,-121.836,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip_1
